cust_id,age,Gender,Usage Frequency,Support Calls,type_plan,arrival_year,arrival_month,arrival_date,market_segment_type,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,Total Spend,no_of_special_requests,booking_status
INN00001,30,Female,14,5,Standard,2023,10,2,Offline,0,0,932,0,Not_Canceled
INN00002,65,Female,1,10,Basic,2024,11,6,Online,0,0,557,1,Not_Canceled
INN00003,55,Female,4,6,Basic,2024,2,28,Online,0,0,185,0,Canceled
INN00004,58,Male,21,7,Standard,2024,5,20,Online,0,0,396,0,Canceled
INN00005,23,Male,20,5,Basic,2024,4,11,Online,0,0,617,0,Canceled
INN00006,51,Male,25,9,Premium,2024,9,13,Online,0,0,129,1,Canceled
INN00007,58,Female,12,3,Standard,2023,10,15,Online,0,0,821,1,Not_Canceled
INN00008,55,Female,8,4,Premium,2024,12,26,Online,0,0,445,1,Not_Canceled
INN00009,39,Male,5,7,Standard,2024,7,6,Offline,0,0,969,1,Not_Canceled
INN00010,64,Female,25,2,Standard,2024,10,18,Online,0,0,415,3,Not_Canceled
INN00011,29,Male,9,0,Premium,2024,9,11,Online,0,0,930,0,Not_Canceled
INN00012,52,Female,6,3,Premium,2024,4,30,Online,0,0,830,1,Not_Canceled
INN00013,22,Male,17,10,Basic,2024,11,26,Online,0,0,265,0,Canceled
INN00014,48,Female,25,1,Basic,2024,11,20,Online,0,0,518,2,Canceled
INN00015,24,Male,9,4,Standard,2023,10,20,Online,0,0,204,2,Not_Canceled
INN00016,49,Male,17,2,Standard,2024,6,15,Online,0,0,975,1,Canceled
INN00017,19,Female,23,7,Basic,2023,10,5,Offline,0,0,978,0,Not_Canceled
INN00018,47,Male,14,1,Premium,2023,8,10,Online,0,0,151,1,Not_Canceled
INN00019,24,Male,13,5,Premium,2023,10,30,Online,0,0,669,0,Canceled
INN00020,42,Male,16,2,Premium,2023,10,4,Offline,0,0,262,0,Not_Canceled
INN00021,57,Female,27,3,Basic,2023,10,30,Online,0,0,212,0,Canceled
INN00022,39,Female,2,4,Basic,2024,11,25,Corporate,0,0,577,0,Not_Canceled
INN00023,27,Male,28,8,Standard,2024,3,20,Offline,0,0,436,0,Not_Canceled
INN00024,27,Female,8,7,Standard,2024,10,13,Offline,0,0,434,0,Not_Canceled
INN00025,59,Male,21,0,Premium,2024,5,22,Online,0,0,822,1,Not_Canceled
INN00026,21,Male,21,7,Basic,2024,4,28,Online,0,0,435,1,Not_Canceled
INN00027,60,Female,16,8,Basic,2023,9,21,Offline,0,0,830,0,Not_Canceled
INN00028,65,Female,29,0,Premium,2024,5,19,Aviation,0,0,857,0,Canceled
INN00029,35,Female,20,6,Premium,2023,11,6,Online,0,0,574,0,Canceled
INN00030,18,Male,15,8,Premium,2023,9,17,Offline,0,0,800,0,Not_Canceled
INN00031,56,Female,5,10,Standard,2023,9,19,Online,0,0,424,1,Not_Canceled
INN00032,35,Male,27,8,Premium,2024,11,13,Online,0,0,232,1,Not_Canceled
INN00033,29,Male,12,2,Premium,2024,12,7,Online,0,0,289,1,Not_Canceled
INN00034,20,Male,24,7,Standard,2024,1,9,Online,0,0,371,1,Not_Canceled
INN00035,63,Female,3,5,Standard,2024,10,7,Offline,0,0,288,0,Not_Canceled
INN00036,22,Female,8,2,Standard,2024,4,27,Online,0,0,939,1,Not_Canceled
INN00037,25,Female,2,10,Basic,2024,6,19,Online,0,0,336,0,Canceled
INN00038,28,Male,24,8,Standard,2023,10,17,Offline,0,0,572,0,Not_Canceled
INN00039,51,Male,4,10,Premium,2024,11,19,Online,0,0,770,0,Canceled
INN00040,32,Male,22,3,Basic,2024,7,30,Online,0,0,413,1,Canceled
INN00041,38,Female,23,6,Basic,2024,11,1,Online,0,0,993,2,Not_Canceled
INN00042,52,Male,26,4,Basic,2024,6,21,Online,0,0,871,1,Not_Canceled
INN00043,37,Male,30,7,Basic,2024,4,10,Online,0,0,929,1,Not_Canceled
INN00044,31,Female,29,7,Standard,2024,6,27,Online,0,0,488,1,Canceled
INN00045,30,Male,7,6,Standard,2023,11,18,Offline,0,0,874,1,Not_Canceled
INN00046,23,Female,21,7,Basic,2023,12,29,Offline,0,0,988,0,Not_Canceled
INN00047,35,Male,11,7,Standard,2023,11,20,Offline,0,0,631,0,Not_Canceled
INN00048,21,Female,11,9,Basic,2024,4,6,Offline,0,0,626,0,Not_Canceled
INN00049,56,Female,11,2,Standard,2024,11,1,Online,0,0,583,1,Not_Canceled
INN00050,53,Female,21,1,Basic,2024,12,29,Online,0,0,717,2,Not_Canceled
INN00051,41,Female,27,10,Basic,2024,5,30,Online,0,0,111,0,Not_Canceled
INN00052,33,Male,12,7,Standard,2024,4,22,Online,0,0,869,0,Canceled
INN00053,18,Male,29,9,Standard,2024,5,16,Online,0,0,296,1,Not_Canceled
INN00054,26,Male,9,10,Standard,2023,11,11,Offline,0,0,643,1,Not_Canceled
INN00055,42,Female,9,1,Basic,2024,6,13,Online,0,0,196,2,Not_Canceled
INN00056,36,Male,15,3,Premium,2024,5,19,Online,0,0,501,1,Not_Canceled
INN00057,22,Female,16,8,Standard,2024,7,28,Online,0,0,966,1,Not_Canceled
INN00058,47,Male,24,6,Premium,2024,12,26,Online,0,0,288,2,Not_Canceled
INN00059,30,Male,23,1,Basic,2024,4,20,Online,0,0,400,0,Canceled
INN00060,21,Female,1,8,Premium,2024,4,6,Online,0,0,618,1,Not_Canceled
INN00061,27,Female,17,3,Basic,2024,9,2,Online,0,0,999,1,Not_Canceled
INN00062,27,Male,13,4,Basic,2024,5,3,Online,0,0,214,2,Not_Canceled
INN00063,32,Male,5,1,Standard,2024,6,24,Offline,0,0,282,0,Not_Canceled
INN00064,44,Female,1,8,Standard,2023,9,10,Complementary,0,0,548,1,Not_Canceled
INN00065,38,Male,9,6,Premium,2024,12,18,Offline,0,0,820,0,Not_Canceled
INN00066,34,Female,18,3,Premium,2024,10,5,Online,0,0,575,2,Not_Canceled
INN00067,42,Male,23,0,Premium,2024,6,3,Online,0,0,736,1,Not_Canceled
INN00068,61,Male,4,7,Basic,2024,4,15,Online,0,0,753,0,Canceled
INN00069,22,Male,13,5,Basic,2024,4,6,Offline,0,0,538,0,Not_Canceled
INN00070,59,Female,13,0,Standard,2024,4,25,Online,0,0,688,1,Not_Canceled
INN00071,53,Male,18,10,Basic,2024,8,25,Offline,0,0,679,0,Not_Canceled
INN00072,37,Male,23,9,Premium,2024,11,14,Online,0,0,530,2,Not_Canceled
INN00073,65,Female,28,9,Premium,2024,8,29,Online,0,0,383,1,Not_Canceled
INN00074,61,Female,7,4,Standard,2024,6,3,Online,0,0,369,0,Canceled
INN00075,40,Female,8,2,Basic,2023,10,25,Offline,0,0,760,0,Not_Canceled
INN00076,63,Female,19,7,Standard,2024,3,9,Online,0,0,768,1,Not_Canceled
INN00077,19,Male,3,6,Standard,2024,12,31,Online,0,0,808,0,Not_Canceled
INN00078,45,Female,4,8,Premium,2024,6,27,Online,0,0,681,1,Not_Canceled
INN00079,59,Male,21,1,Standard,2024,6,28,Online,0,0,858,2,Canceled
INN00080,55,Female,2,5,Standard,2024,3,29,Offline,0,0,159,1,Not_Canceled
INN00081,44,Male,12,7,Standard,2024,4,1,Online,0,0,624,0,Canceled
INN00082,61,Male,12,7,Premium,2024,10,11,Online,0,0,925,0,Canceled
INN00083,46,Male,12,3,Premium,2024,12,25,Online,0,0,531,2,Not_Canceled
INN00084,22,Male,17,3,Basic,2024,3,14,Online,0,0,769,0,Not_Canceled
INN00085,46,Female,4,5,Standard,2024,3,4,Online,0,0,299,1,Not_Canceled
INN00086,64,Male,20,9,Premium,2024,10,17,Online,0,0,785,2,Not_Canceled
INN00087,28,Female,16,1,Standard,2024,9,4,Online,0,0,389,1,Not_Canceled
INN00088,35,Female,28,4,Basic,2024,6,15,Online,0,0,507,0,Canceled
INN00089,55,Female,6,2,Basic,2024,12,10,Online,0,5,392,0,Not_Canceled
INN00090,35,Male,17,6,Basic,2024,8,9,Offline,0,0,392,0,Not_Canceled
INN00091,45,Female,4,5,Premium,2024,5,5,Online,0,0,699,1,Not_Canceled
INN00092,24,Male,20,0,Basic,2024,3,18,Online,0,0,268,0,Not_Canceled
INN00093,44,Female,11,7,Premium,2024,4,9,Online,0,0,139,1,Not_Canceled
INN00094,60,Male,7,3,Standard,2024,5,19,Online,0,0,871,1,Not_Canceled
