,arrival_month,Total_spend,no_of_special_requests,arrival_date,age,Usage_frequency,Support_calls,market_segment_type,type_plan,arrival_year,booking_status
0,10,549,0,17,51,26,10,4,1,2023,1
1,7,308,2,16,34,9,8,4,1,2024,1
2,9,828,0,8,60,8,5,3,2,2024,0
3,8,314,0,8,57,4,0,3,0,2024,1
4,6,239,0,15,40,13,0,3,2,2024,0
5,4,973,1,6,65,15,9,4,1,2024,0
6,5,707,0,13,38,10,1,3,2,2024,0
7,12,893,0,15,56,3,8,4,1,2024,1
8,3,778,1,21,37,26,2,4,0,2024,1
9,3,493,1,20,60,2,7,4,1,2024,0
10,7,178,1,12,53,13,9,4,2,2024,1
11,8,170,0,30,45,4,7,4,1,2024,0
12,6,717,0,11,23,9,6,4,1,2024,1
13,10,526,0,10,60,17,1,3,0,2024,0
14,7,528,2,12,43,23,6,4,2,2024,1
15,9,134,0,17,28,17,1,3,2,2023,1
16,10,679,0,12,40,17,7,4,1,2024,0
17,8,380,1,10,59,21,3,4,0,2024,1
18,3,309,1,25,44,25,7,4,0,2024,1
19,4,721,2,29,37,26,2,4,1,2024,1
20,8,159,1,21,45,29,9,4,2,2024,1
21,2,901,1,26,27,6,1,4,0,2024,0
22,2,998,0,28,55,11,3,3,0,2024,0
23,7,623,0,21,62,24,0,4,0,2024,0
24,6,375,0,20,61,4,5,4,2,2024,0
25,11,196,0,11,27,7,10,3,1,2024,1
26,7,734,1,1,36,3,0,4,2,2024,1
27,2,974,1,4,39,2,7,4,0,2024,0
28,4,847,1,1,46,5,6,4,0,2024,1
29,9,748,1,16,65,9,7,4,2,2024,0
30,11,750,2,23,29,21,3,4,0,2024,0
31,8,307,0,3,47,29,8,4,2,2024,0
32,4,278,0,12,43,17,7,4,1,2024,1
33,2,773,0,19,19,29,1,2,2,2024,1
34,8,767,0,31,53,18,10,4,2,2024,1
35,5,418,0,8,25,30,8,4,0,2024,1
36,9,852,0,29,25,19,2,4,1,2023,0
37,8,109,0,5,42,11,8,3,1,2023,1
38,6,534,2,16,47,1,2,4,1,2024,1
39,3,152,0,2,51,11,2,4,0,2024,1
40,9,561,2,21,57,7,5,4,0,2023,1
41,11,791,1,7,62,28,1,3,2,2024,1
42,8,268,2,12,43,20,4,3,1,2024,1
43,6,956,0,2,45,3,4,4,0,2024,0
44,11,827,0,29,58,11,3,4,2,2024,1
45,10,579,0,16,28,15,7,4,0,2023,0
46,12,819,2,5,51,20,3,3,1,2023,1
47,10,932,2,17,29,21,10,4,0,2024,1
48,7,806,1,28,20,25,1,2,1,2024,1
49,9,351,0,25,37,22,0,3,0,2023,1
50,8,915,0,19,38,25,9,4,1,2024,0
51,8,828,0,23,59,7,10,4,0,2023,1
52,10,266,1,30,49,17,5,3,0,2024,1
53,5,823,0,9,35,12,1,4,0,2024,1
54,8,387,0,14,33,20,9,3,0,2023,1
55,4,246,0,8,63,7,5,4,1,2024,1
56,7,480,2,26,57,6,2,3,2,2024,1
57,5,420,1,29,23,16,6,4,2,2024,1
58,11,782,1,13,45,20,8,4,0,2023,1
59,11,300,0,18,62,23,8,3,1,2024,0
60,9,642,1,13,57,10,0,4,0,2024,0
61,11,904,0,4,52,4,2,4,2,2024,0
62,6,127,0,6,20,1,7,2,1,2024,1
63,12,719,0,30,24,1,8,3,0,2023,1
64,5,346,0,7,23,27,8,4,2,2024,1
65,9,747,0,18,29,30,3,3,1,2023,1
66,6,650,1,14,38,22,9,4,2,2024,1
67,3,501,1,16,42,8,6,4,0,2024,0
68,11,842,0,25,27,30,1,2,2,2024,1
69,4,732,1,12,53,24,6,4,1,2024,1
70,5,990,1,9,54,5,0,4,2,2024,1
71,1,293,0,18,48,7,5,4,1,2024,1
72,7,392,1,30,53,9,10,4,2,2024,1
73,9,695,1,28,54,9,7,3,2,2024,1
74,6,242,0,18,40,1,6,4,0,2024,0
75,10,943,0,11,33,29,8,3,2,2024,1
76,8,190,0,24,22,3,6,4,2,2023,1
77,11,757,0,20,33,26,4,3,0,2023,1
78,6,930,1,9,37,25,2,4,2,2024,0
79,9,168,0,5,60,27,3,4,0,2024,0
80,9,365,1,21,44,4,6,4,2,2024,0
81,4,185,0,5,37,30,6,4,1,2024,0
82,8,113,0,13,56,12,0,4,0,2024,0
83,10,215,0,21,44,2,5,3,0,2024,0
84,12,988,0,29,48,12,2,3,0,2023,1
85,8,265,0,15,18,24,1,3,2,2023,1
86,3,903,0,3,58,11,6,4,2,2024,0
87,9,268,1,13,57,14,7,4,1,2024,0
88,7,421,0,18,55,13,10,3,1,2024,1
89,10,317,4,1,33,28,0,4,2,2023,1
90,9,768,0,16,28,20,5,3,2,2024,1
91,9,475,1,14,39,16,10,4,2,2023,1
92,10,354,1,18,63,23,8,2,0,2024,1
93,11,954,1,14,65,1,8,4,2,2024,1
94,8,720,0,28,40,25,10,3,2,2024,1
95,12,158,0,30,41,3,3,3,2,2023,1
96,11,688,3,10,19,6,9,4,2,2024,1
97,8,550,0,23,45,26,4,4,0,2024,0
98,1,824,0,19,33,15,4,3,1,2024,1
