arrival_month,Total_spend,no_of_special_requests,arrival_date,age,Usage_frequency,Support_calls,market_segment_type,type_plan,arrival_year,booking_status
10,549,0,17,51,26,10,4,1,2023,1
7,308,2,16,34,9,8,4,1,2024,1
9,828,0,8,60,8,5,3,2,2024,0
8,314,0,8,57,4,0,3,0,2024,1
6,239,0,15,40,13,0,3,2,2024,0
4,973,1,6,65,15,9,4,1,2024,0
5,707,0,13,38,10,1,3,2,2024,0
12,893,0,15,56,3,8,4,1,2024,1
3,778,1,21,37,26,2,4,0,2024,1
3,493,1,20,60,2,7,4,1,2024,0
7,178,1,12,53,13,9,4,2,2024,1
8,170,0,30,45,4,7,4,1,2024,0
6,717,0,11,23,9,6,4,1,2024,1
10,526,0,10,60,17,1,3,0,2024,0
7,528,2,12,43,23,6,4,2,2024,1
9,134,0,17,28,17,1,3,2,2023,1
10,679,0,12,40,17,7,4,1,2024,0
8,380,1,10,59,21,3,4,0,2024,1
3,309,1,25,44,25,7,4,0,2024,1
4,721,2,29,37,26,2,4,1,2024,1
8,159,1,21,45,29,9,4,2,2024,1
2,901,1,26,27,6,1,4,0,2024,0
2,998,0,28,55,11,3,3,0,2024,0
7,623,0,21,62,24,0,4,0,2024,0
6,375,0,20,61,4,5,4,2,2024,0
11,196,0,11,27,7,10,3,1,2024,1
7,734,1,1,36,3,0,4,2,2024,1
2,974,1,4,39,2,7,4,0,2024,0
4,847,1,1,46,5,6,4,0,2024,1
9,748,1,16,65,9,7,4,2,2024,0
11,750,2,23,29,21,3,4,0,2024,0
8,307,0,3,47,29,8,4,2,2024,0
4,278,0,12,43,17,7,4,1,2024,1
2,773,0,19,19,29,1,2,2,2024,1
8,767,0,31,53,18,10,4,2,2024,1
5,418,0,8,25,30,8,4,0,2024,1
9,852,0,29,25,19,2,4,1,2023,0
8,109,0,5,42,11,8,3,1,2023,1
6,534,2,16,47,1,2,4,1,2024,1
3,152,0,2,51,11,2,4,0,2024,1
9,561,2,21,57,7,5,4,0,2023,1
11,791,1,7,62,28,1,3,2,2024,1
8,268,2,12,43,20,4,3,1,2024,1
6,956,0,2,45,3,4,4,0,2024,0
11,827,0,29,58,11,3,4,2,2024,1
10,579,0,16,28,15,7,4,0,2023,0
12,819,2,5,51,20,3,3,1,2023,1
10,932,2,17,29,21,10,4,0,2024,1
7,806,1,28,20,25,1,2,1,2024,1
9,351,0,25,37,22,0,3,0,2023,1
8,915,0,19,38,25,9,4,1,2024,0
8,828,0,23,59,7,10,4,0,2023,1
10,266,1,30,49,17,5,3,0,2024,1
5,823,0,9,35,12,1,4,0,2024,1
8,387,0,14,33,20,9,3,0,2023,1
4,246,0,8,63,7,5,4,1,2024,1
7,480,2,26,57,6,2,3,2,2024,1
5,420,1,29,23,16,6,4,2,2024,1
11,782,1,13,45,20,8,4,0,2023,1
11,300,0,18,62,23,8,3,1,2024,0
9,642,1,13,57,10,0,4,0,2024,0
11,904,0,4,52,4,2,4,2,2024,0
6,127,0,6,20,1,7,2,1,2024,1
12,719,0,30,24,1,8,3,0,2023,1
5,346,0,7,23,27,8,4,2,2024,1
9,747,0,18,29,30,3,3,1,2023,1
6,650,1,14,38,22,9,4,2,2024,1
3,501,1,16,42,8,6,4,0,2024,0
11,842,0,25,27,30,1,2,2,2024,1
4,732,1,12,53,24,6,4,1,2024,1
5,990,1,9,54,5,0,4,2,2024,1
1,293,0,18,48,7,5,4,1,2024,1
7,392,1,30,53,9,10,4,2,2024,1
9,695,1,28,54,9,7,3,2,2024,1
6,242,0,18,40,1,6,4,0,2024,0
10,943,0,11,33,29,8,3,2,2024,1
8,190,0,24,22,3,6,4,2,2023,1
11,757,0,20,33,26,4,3,0,2023,1
6,930,1,9,37,25,2,4,2,2024,0
9,168,0,5,60,27,3,4,0,2024,0
9,365,1,21,44,4,6,4,2,2024,0
4,185,0,5,37,30,6,4,1,2024,0
8,113,0,13,56,12,0,4,0,2024,0
10,215,0,21,44,2,5,3,0,2024,0
12,988,0,29,48,12,2,3,0,2023,1
8,265,0,15,18,24,1,3,2,2023,1
3,903,0,3,58,11,6,4,2,2024,0
9,268,1,13,57,14,7,4,1,2024,0
7,421,0,18,55,13,10,3,1,2024,1
10,317,4,1,33,28,0,4,2,2023,1
9,768,0,16,28,20,5,3,2,2024,1
9,475,1,14,39,16,10,4,2,2023,1
10,354,1,18,63,23,8,2,0,2024,1
11,954,1,14,65,1,8,4,2,2024,1
8,720,0,28,40,25,10,3,2,2024,1
12,158,0,30,41,3,3,3,2,2023,1
11,688,3,10,19,6,9,4,2,2024,1
8,550,0,23,45,26,4,4,0,2024,0
1,824,0,19,33,15,4,3,1,2024,1
12,912,2,3,54,28,6,4,2,2023,1
12,713,2,6,48,1,8,4,2,2024,0
8,233,1,4,29,4,7,3,2,2024,1
10,979,1,30,60,17,7,4,2,2024,1
8,765,2,6,44,30,7,4,1,2023,0
9,923,0,22,48,28,8,4,0,2024,0
6,618,0,3,42,27,2,3,1,2024,1
6,306,0,14,62,15,1,3,1,2024,1
2,326,0,17,54,3,8,3,0,2024,1
6,148,0,26,21,13,10,3,2,2024,1
6,810,2,28,46,18,10,4,2,2024,1
5,871,0,19,28,25,10,4,1,2024,0
2,305,0,12,58,6,7,4,0,2024,0
3,847,0,25,51,17,0,4,2,2024,0
5,394,1,8,21,8,6,4,1,2024,1
8,979,1,6,60,27,2,4,1,2024,1
8,877,1,27,53,13,2,4,0,2023,0
9,811,0,2,62,5,2,3,1,2024,1
2,921,2,7,30,16,7,4,1,2024,1
2,380,0,15,22,6,2,4,1,2024,1
12,266,0,5,49,6,6,4,0,2023,1
11,940,0,7,39,27,3,3,1,2024,0
8,896,0,8,59,19,1,2,0,2024,1
9,370,3,12,58,22,8,4,0,2023,1
4,966,1,17,35,30,3,4,2,2024,1
8,547,1,18,53,13,6,3,0,2024,0
11,171,1,30,48,9,4,4,2,2023,1
3,664,0,8,53,3,7,4,0,2024,1
4,103,0,27,44,23,5,4,2,2024,0
4,682,0,20,31,21,0,3,1,2024,1
10,608,0,16,54,14,2,4,0,2023,1
10,787,0,16,27,18,5,3,0,2023,1
9,818,0,30,19,3,10,2,0,2023,1
9,510,1,29,47,18,0,3,0,2024,1
6,639,0,2,62,6,3,3,0,2024,1
7,491,0,17,28,19,2,3,2,2023,0
10,441,2,17,51,16,3,4,0,2024,1
10,922,0,30,55,3,0,4,1,2024,0
8,549,2,15,62,14,6,4,2,2023,0
7,723,0,6,36,21,8,4,2,2024,1
9,705,1,11,63,25,2,4,0,2024,1
2,747,0,28,53,8,6,2,1,2024,1
12,748,0,1,64,9,6,4,2,2024,1
8,929,1,10,40,1,9,4,2,2024,1
9,992,0,17,34,28,7,4,0,2023,1
12,269,0,14,25,24,10,4,0,2024,1
11,652,0,15,63,30,3,4,1,2023,1
2,107,0,19,50,29,8,2,2,2024,1
4,440,1,30,50,14,6,4,1,2024,1
3,704,1,28,34,30,5,4,1,2024,0
9,562,1,3,44,21,1,4,2,2024,0
10,872,1,29,36,20,1,4,1,2024,1
9,562,1,22,43,9,9,4,2,2024,0
8,104,1,21,57,21,4,3,1,2024,1
9,263,1,23,29,2,5,4,2,2024,1
11,266,0,14,60,17,10,3,0,2024,1
9,586,0,7,53,30,7,3,1,2023,1
2,198,0,7,34,2,1,3,1,2024,1
1,888,1,31,41,3,2,4,0,2024,1
6,466,0,6,50,7,10,3,2,2024,1
10,604,1,23,31,20,2,4,2,2024,0
9,225,2,30,61,21,4,4,0,2024,0
11,432,0,3,39,7,0,4,2,2024,0
3,253,0,2,51,21,4,3,2,2024,1
10,759,0,5,43,4,7,3,1,2023,1
8,266,3,1,31,19,6,4,1,2024,1
8,591,0,16,21,24,0,4,1,2024,0
7,249,1,7,50,30,3,1,0,2023,1
10,415,0,16,24,9,0,4,0,2024,0
4,575,1,8,62,10,10,4,1,2024,1
8,768,0,31,49,2,2,4,1,2024,0
10,872,1,28,60,6,0,4,0,2024,1
9,301,1,1,19,16,4,3,0,2024,1
12,374,0,24,46,7,3,3,2,2023,1
3,208,0,27,32,21,10,3,0,2024,1
3,670,1,16,28,26,3,4,1,2024,1
8,703,1,13,40,20,7,4,1,2024,1
11,315,1,25,23,8,9,4,2,2023,1
1,205,0,2,59,27,0,3,0,2024,1
1,964,0,25,47,16,4,2,0,2024,1
4,772,0,29,29,23,4,4,1,2024,0
2,266,0,17,62,5,6,4,2,2024,1
8,176,0,2,29,14,5,4,1,2024,1
5,383,2,22,20,17,10,4,2,2024,1
5,644,1,4,32,13,0,3,2,2024,1
5,159,0,9,33,24,5,4,1,2024,1
8,250,0,23,26,28,8,4,0,2023,1
12,619,0,2,50,28,1,2,2,2024,1
5,163,0,11,23,16,8,4,1,2024,0
10,563,2,27,55,6,5,4,0,2024,1
11,355,2,14,39,1,8,4,1,2024,0
11,547,0,13,41,13,1,3,0,2023,1
5,145,2,15,57,16,3,4,1,2024,1
12,648,1,14,26,25,6,4,1,2024,1
10,896,1,4,36,22,8,4,2,2024,1
9,354,0,20,18,29,8,3,1,2023,1
6,152,0,1,29,19,6,4,1,2024,0
7,551,1,3,36,23,2,4,0,2024,1
6,981,0,15,49,4,3,3,2,2024,0
8,830,2,9,49,20,9,4,1,2024,0
5,191,0,23,24,29,9,2,0,2024,1
6,437,2,13,35,3,7,4,2,2024,1
7,146,1,27,53,21,7,4,1,2024,0
9,254,1,19,46,29,5,4,2,2024,0
3,451,0,22,43,1,8,4,1,2024,1
12,569,0,18,29,20,1,3,0,2024,1
2,951,0,6,22,6,2,2,0,2024,1
1,137,1,20,34,27,1,4,1,2024,1
8,911,0,3,34,19,1,4,1,2024,0
12,554,2,8,34,11,7,4,2,2024,1
6,748,0,15,22,17,1,4,1,2024,0
3,452,0,10,50,25,8,4,0,2024,0
10,463,2,23,52,28,9,4,2,2023,1
9,177,0,18,47,12,9,4,0,2024,1
9,203,0,18,64,12,1,3,1,2023,1
8,665,2,8,30,30,4,4,2,2024,1
6,287,1,15,40,22,7,3,2,2024,0
11,441,0,3,48,19,4,4,2,2024,0
9,598,0,30,19,25,0,3,1,2024,0
10,887,1,3,51,30,6,4,0,2024,1
3,528,1,11,29,10,9,4,0,2024,1
7,471,0,3,45,12,1,4,1,2024,0
5,565,0,6,36,26,8,3,2,2024,1
4,553,1,1,65,19,4,4,0,2024,1
8,966,0,24,22,28,5,4,1,2024,0
8,642,1,12,22,4,5,4,0,2024,0
6,957,0,7,53,22,10,3,2,2024,0
2,383,1,21,20,5,1,4,1,2024,1
4,328,1,25,48,26,5,4,1,2024,1
4,753,1,6,52,19,7,4,1,2024,1
5,596,1,12,56,5,7,4,2,2024,1
8,438,1,11,56,11,3,4,2,2024,0
1,262,0,16,58,5,5,4,2,2024,1
8,161,0,15,52,25,10,3,0,2023,0
3,379,0,3,18,25,7,4,0,2024,0
5,735,0,1,61,29,5,4,0,2024,0
6,657,1,17,47,2,10,4,1,2024,1
10,120,0,5,23,8,3,3,0,2024,0
10,776,1,1,53,13,1,4,0,2023,1
4,194,0,24,29,2,8,3,1,2024,0
3,819,0,2,63,16,1,4,0,2024,0
12,887,0,28,34,19,4,4,0,2023,1
6,404,0,3,38,7,10,3,0,2024,0
12,195,1,10,43,6,2,4,2,2024,1
7,975,1,7,54,22,9,4,1,2024,1
