cust_id,age,Gender,Usage Frequency,Support Calls,type_plan,arrival_year,arrival_month,arrival_date,market_segment_type,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,Total Spend,no_of_special_requests,booking_status
INN25630,51,Male,26,10,Premium,2023,10,17,Online,0,0,549,0,Not_Canceled
INN14474,34,Male,9,8,Premium,2024,7,16,Online,0,0,308,2,Not_Canceled
INN23721,60,Male,8,5,Standard,2024,9,8,Offline,0,0,828,0,Canceled
INN05844,57,Female,4,0,Basic,2024,8,8,Offline,0,0,314,0,Not_Canceled
INN18710,40,Male,13,0,Standard,2024,6,15,Offline,0,0,239,0,Canceled
INN07412,65,Female,15,9,Premium,2024,4,6,Online,0,0,973,1,Canceled
INN22966,38,Male,10,1,Standard,2024,5,13,Offline,0,0,707,0,Canceled
INN25678,56,Female,3,8,Premium,2024,12,15,Online,0,0,893,0,Not_Canceled
INN33712,37,Female,26,2,Basic,2024,3,21,Online,0,0,778,1,Not_Canceled
INN20728,60,Male,2,7,Premium,2024,3,20,Online,0,0,493,1,Canceled
INN06177,53,Female,13,9,Standard,2024,7,12,Online,0,0,178,1,Not_Canceled
INN08935,45,Male,4,7,Premium,2024,8,30,Online,0,0,170,0,Canceled
INN06713,23,Female,9,6,Premium,2024,6,11,Online,0,0,717,0,Not_Canceled
INN19753,60,Male,17,1,Basic,2024,10,10,Offline,0,0,526,0,Canceled
INN21524,43,Female,23,6,Standard,2024,7,12,Online,0,0,528,2,Not_Canceled
INN21650,28,Male,17,1,Standard,2023,9,17,Offline,0,0,134,0,Not_Canceled
INN07135,40,Female,17,7,Premium,2024,10,12,Online,0,0,679,0,Canceled
INN31510,59,Female,21,3,Basic,2024,8,10,Online,0,0,380,1,Not_Canceled
INN02605,44,Male,25,7,Basic,2024,3,25,Online,0,0,309,1,Not_Canceled
INN15870,37,Female,26,2,Premium,2024,4,29,Online,0,0,721,2,Not_Canceled
INN11829,45,Female,29,9,Standard,2024,8,21,Online,0,0,159,1,Not_Canceled
INN29923,27,Female,6,1,Basic,2024,2,26,Online,0,0,901,1,Canceled
INN08319,55,Male,11,3,Basic,2024,2,28,Offline,0,0,998,0,Canceled
INN04660,62,Female,24,0,Basic,2024,7,21,Online,0,0,623,0,Canceled
INN05569,61,Male,4,5,Standard,2024,6,20,Online,0,0,375,0,Canceled
INN08460,27,Male,7,10,Premium,2024,11,11,Offline,0,0,196,0,Not_Canceled
INN05935,36,Female,3,0,Standard,2024,7,1,Online,0,0,734,1,Not_Canceled
INN08597,39,Female,2,7,Basic,2024,2,4,Online,0,0,974,1,Canceled
INN33986,46,Female,5,6,Basic,2024,4,1,Online,0,0,847,1,Not_Canceled
INN11598,65,Female,9,7,Standard,2024,9,16,Online,0,0,748,1,Canceled
INN32362,29,Female,21,3,Basic,2024,11,23,Online,0,0,750,2,Canceled
INN16793,47,Male,29,8,Standard,2024,8,3,Online,0,0,307,0,Canceled
INN25331,43,Male,17,7,Premium,2024,4,12,Online,0,0,278,0,Not_Canceled
INN01599,19,Male,29,1,Standard,2024,2,19,Corporate,0,0,773,0,Not_Canceled
INN35682,53,Male,18,10,Standard,2024,8,31,Online,0,0,767,0,Not_Canceled
INN07925,25,Female,30,8,Basic,2024,5,8,Online,0,0,418,0,Not_Canceled
INN13401,25,Female,19,2,Premium,2023,9,29,Online,0,0,852,0,Canceled
INN32355,42,Male,11,8,Premium,2023,8,5,Offline,0,0,109,0,Not_Canceled
INN10945,47,Male,1,2,Premium,2024,6,16,Online,0,0,534,2,Not_Canceled
INN16526,51,Female,11,2,Basic,2024,3,2,Online,0,0,152,0,Not_Canceled
INN34901,57,Female,7,5,Basic,2023,9,21,Online,0,0,561,2,Not_Canceled
INN07956,62,Female,28,1,Standard,2024,11,7,Offline,0,0,791,1,Not_Canceled
INN25585,43,Female,20,4,Premium,2024,8,12,Offline,0,0,268,2,Not_Canceled
INN17548,45,Female,3,4,Basic,2024,6,2,Online,0,0,956,0,Canceled
INN15662,58,Male,11,3,Standard,2024,11,29,Online,0,0,827,0,Not_Canceled
INN05666,28,Female,15,7,Basic,2023,10,16,Online,0,0,579,0,Canceled
INN13535,51,Male,20,3,Premium,2023,12,5,Offline,0,0,819,2,Not_Canceled
INN33360,29,Male,21,10,Basic,2024,10,17,Online,0,0,932,2,Not_Canceled
INN02133,20,Male,25,1,Premium,2024,7,28,Corporate,1,17,806,1,Not_Canceled
INN18974,37,Male,22,0,Basic,2023,9,25,Offline,0,0,351,0,Not_Canceled
INN13372,38,Female,25,9,Premium,2024,8,19,Online,0,0,915,0,Canceled
INN19993,59,Male,7,10,Basic,2023,8,23,Online,0,0,828,0,Not_Canceled
INN11388,49,Male,17,5,Basic,2024,10,30,Offline,0,0,266,1,Not_Canceled
INN22553,35,Female,12,1,Basic,2024,5,9,Online,0,0,823,0,Not_Canceled
INN13506,33,Female,20,9,Basic,2023,8,14,Offline,0,0,387,0,Not_Canceled
INN09683,63,Male,7,5,Premium,2024,4,8,Online,0,0,246,0,Not_Canceled
INN31252,57,Female,6,2,Standard,2024,7,26,Offline,0,0,480,2,Not_Canceled
INN03931,23,Male,16,6,Standard,2024,5,29,Online,0,0,420,1,Not_Canceled
INN01896,45,Female,20,8,Basic,2023,11,13,Online,0,0,782,1,Not_Canceled
INN09536,62,Female,23,8,Premium,2024,11,18,Offline,0,0,300,0,Canceled
INN01809,57,Female,10,0,Basic,2024,9,13,Online,0,0,642,1,Canceled
INN19053,52,Male,4,2,Standard,2024,11,4,Online,1,0,904,0,Canceled
INN34904,20,Female,1,7,Premium,2024,6,6,Corporate,0,3,127,0,Not_Canceled
INN31661,24,Male,1,8,Basic,2023,12,30,Offline,0,0,719,0,Not_Canceled
INN25688,23,Female,27,8,Standard,2024,5,7,Online,0,0,346,0,Not_Canceled
INN27330,29,Female,30,3,Premium,2023,9,18,Offline,0,0,747,0,Not_Canceled
INN00629,38,Female,22,9,Standard,2024,6,14,Online,0,0,650,1,Not_Canceled
INN34082,42,Female,8,6,Basic,2024,3,16,Online,0,0,501,1,Canceled
INN24739,27,Female,30,1,Standard,2024,11,25,Corporate,0,0,842,0,Not_Canceled
INN14655,53,Female,24,6,Premium,2024,4,12,Online,0,0,732,1,Not_Canceled
INN21507,54,Female,5,0,Standard,2024,5,9,Online,0,0,990,1,Not_Canceled
INN08476,48,Male,7,5,Premium,2024,1,18,Online,0,0,293,0,Not_Canceled
INN02267,53,Male,9,10,Standard,2024,7,30,Online,0,0,392,1,Not_Canceled
INN11049,54,Male,9,7,Standard,2024,9,28,Offline,0,0,695,1,Not_Canceled
INN06273,40,Male,1,6,Basic,2024,6,18,Online,0,0,242,0,Canceled
INN09058,33,Male,29,8,Standard,2024,10,11,Offline,0,0,943,0,Not_Canceled
INN34653,22,Female,3,6,Standard,2023,8,24,Online,0,0,190,0,Not_Canceled
INN21203,33,Female,26,4,Basic,2023,11,20,Offline,0,0,757,0,Not_Canceled
INN23145,37,Male,25,2,Standard,2024,6,9,Online,0,0,930,1,Canceled
INN26962,60,Male,27,3,Basic,2024,9,5,Online,0,0,168,0,Canceled
INN01891,44,Male,4,6,Standard,2024,9,21,Online,0,0,365,1,Canceled
INN07221,37,Male,30,6,Premium,2024,4,5,Online,0,0,185,0,Canceled
INN23161,56,Male,12,0,Basic,2024,8,13,Online,0,0,113,0,Canceled
INN29729,44,Male,2,5,Basic,2024,10,21,Offline,0,0,215,0,Canceled
INN11390,48,Male,12,2,Basic,2023,12,29,Offline,0,0,988,0,Not_Canceled
INN24096,18,Female,24,1,Standard,2023,8,15,Offline,0,0,265,0,Not_Canceled
INN19618,58,Female,11,6,Standard,2024,3,3,Online,0,0,903,0,Canceled
INN11837,57,Male,14,7,Premium,2024,9,13,Online,0,0,268,1,Canceled
INN30815,55,Male,13,10,Premium,2024,7,18,Offline,0,0,421,0,Not_Canceled
INN11243,33,Female,28,0,Standard,2023,10,1,Online,0,0,317,4,Not_Canceled
INN20748,28,Female,20,5,Standard,2024,9,16,Offline,0,0,768,0,Not_Canceled
INN28487,39,Female,16,10,Standard,2023,9,14,Online,0,0,475,1,Not_Canceled
INN06254,63,Male,23,8,Basic,2024,10,18,Corporate,0,10,354,1,Not_Canceled
INN14019,65,Male,1,8,Standard,2024,11,14,Online,0,0,954,1,Not_Canceled
INN14066,40,Female,25,10,Standard,2024,8,28,Offline,0,0,720,0,Not_Canceled
INN00580,41,Male,3,3,Standard,2023,12,30,Offline,0,0,158,0,Not_Canceled
INN15962,19,Female,6,9,Standard,2024,11,10,Online,0,0,688,3,Not_Canceled
INN28110,45,Male,26,4,Basic,2024,8,23,Online,0,0,550,0,Canceled
INN09304,33,Male,15,4,Premium,2024,1,19,Offline,0,0,824,0,Not_Canceled
INN30213,54,Female,28,6,Standard,2023,12,3,Online,0,0,912,2,Not_Canceled
INN21162,48,Male,1,8,Standard,2024,12,6,Online,0,0,713,2,Canceled
INN28890,29,Male,4,7,Standard,2024,8,4,Offline,0,0,233,1,Not_Canceled
INN15932,60,Female,17,7,Standard,2024,10,30,Online,0,0,979,1,Not_Canceled
INN11199,44,Female,30,7,Premium,2023,8,6,Online,0,0,765,2,Canceled
INN09725,48,Female,28,8,Basic,2024,9,22,Online,0,0,923,0,Canceled
INN04336,42,Male,27,2,Premium,2024,6,3,Offline,0,0,618,0,Not_Canceled
INN18652,62,Male,15,1,Premium,2024,6,14,Offline,0,0,306,0,Not_Canceled
INN23921,54,Male,3,8,Basic,2024,2,17,Offline,0,0,326,0,Not_Canceled
INN22697,21,Male,13,10,Standard,2024,6,26,Offline,0,0,148,0,Not_Canceled
INN32957,46,Female,18,10,Standard,2024,6,28,Online,0,0,810,2,Not_Canceled
INN15141,28,Male,25,10,Premium,2024,5,19,Online,0,0,871,0,Canceled
INN31098,58,Female,6,7,Basic,2024,2,12,Online,0,0,305,0,Canceled
INN04795,51,Male,17,0,Standard,2024,3,25,Online,0,0,847,0,Canceled
INN03526,21,Male,8,6,Premium,2024,5,8,Online,0,0,394,1,Not_Canceled
INN31414,60,Male,27,2,Premium,2024,8,6,Online,0,0,979,1,Not_Canceled
INN02391,53,Male,13,2,Basic,2023,8,27,Online,0,0,877,1,Canceled
INN23101,62,Female,5,2,Premium,2024,9,2,Offline,0,0,811,0,Not_Canceled
INN25991,30,Female,16,7,Premium,2024,2,7,Online,0,0,921,2,Not_Canceled
INN30419,22,Male,6,2,Premium,2024,2,15,Online,0,0,380,0,Not_Canceled
INN04255,49,Male,6,6,Basic,2023,12,5,Online,0,0,266,0,Not_Canceled
INN10715,39,Female,27,3,Premium,2024,11,7,Offline,0,0,940,0,Canceled
INN34190,59,Female,19,1,Basic,2024,8,8,Corporate,0,0,896,0,Not_Canceled
INN30104,58,Male,22,8,Basic,2023,9,12,Online,0,0,370,3,Not_Canceled
INN23389,35,Female,30,3,Standard,2024,4,17,Online,0,0,966,1,Not_Canceled
